,image_name,Grain_size_number
56,Specimen 17 WM+WM3@1000X.bmp,10.83460443338481
57,Specimen 17 WM+WM3@100X.bmp,9.290116104947847
58,Specimen 17 WM+WM3@200X.bmp,9.912556307704277
59,Specimen 17 WM+WM3@500X.bmp,10.300386371292182
60,Specimen 21 WM+WM1@1000X.bmp,10.956047648923516
61,Specimen 21 WM+WM1@100X.bmp,9.285413533107615
62,Specimen 21 WM+WM1@200X.bmp,9.80153087253899
63,Specimen 21 WM+WM1@500X.bmp,10.391079535789888
64,Specimen 21 WM+WM2@1000X.bmp,10.905487515534732
65,Specimen 21 WM+WM2@100X.bmp,9.315355017440401
66,Specimen 21 WM+WM2@200X.bmp,9.745366105275433
67,Specimen 21 WM+WM2@500X.bmp,10.417990827647444
68,Specimen 21 WM+WM3@1000X.bmp,10.745422639313771
69,Specimen 21 WM+WM3@100X.bmp,9.214556643952044
70,Specimen 21 WM+WM3@200X.bmp,9.813002914297442
71,Specimen 21 WM+WM3@500X.bmp,10.42354945507501
72,Specimen 6 WM+WM1@1000X.bmp,10.935056265067939
73,Specimen 6 WM+WM1@100X.bmp,9.201057709126319
74,Specimen 6 WM+WM1@200X.bmp,9.878329277767424
75,Specimen 6 WM+WM1@500X.bmp,10.264433077219469
76,Specimen 6 WM+WM2@1000X.bmp,11.1296372717625
77,Specimen 6 WM+WM2@100X.bmp,9.321155900130913
78,Specimen 6 WM+WM2@200X.bmp,9.834086216506998
79,Specimen 6 WM+WM2@500X.bmp,10.319218299982111
80,Specimen 6 WM+WM3@1000X.bmp,11.078914834104282
81,Specimen 6 WM+WM3@100X.bmp,9.12881966609553
82,Specimen 6 WM+WM3@200X.bmp,9.84189715027513
83,Specimen 6 WM+WM3@500X.bmp,10.391997326647724
84,Specimen 8 WM+WM1@1000X.bmp,11.180741170265687
85,Specimen 8 WM+WM1@100X.bmp,9.348188685880816
86,Specimen 8 WM+WM1@200X.bmp,9.913305870202837
87,Specimen 8 WM+WM1@500X.bmp,10.518646747712369
88,Specimen 8 WM+WM2@1000X.bmp,11.098185775597303
89,Specimen 8 WM+WM2@100X.bmp,9.434573381179359
90,Specimen 8 WM+WM2@200X.bmp,10.07096047611741
91,Specimen 8 WM+WM2@500X.bmp,10.565703627423073
92,Specimen 8 WM+WM3@1000X.bmp,11.02240979812186
93,Specimen 8 WM+WM3@100X.bmp,9.379748064161074
94,Specimen 8 WM+WM3@200X.bmp,10.03379076030664
95,Specimen 8 WM+WM3@500X.bmp,10.606846035865251
96,Specimen 9 WM+WM1@1000X.bmp,11.150093856394763
97,Specimen 9 WM+WM1@100X.bmp,9.379337849261487
98,Specimen 9 WM+WM1@200X.bmp,9.831451038582932
99,Specimen 9 WM+WM1@500X.bmp,10.248309935630111
100,Specimen 9 WM+WM2@1000X.bmp,10.940952166254522
101,Specimen 9 WM+WM2@100X.bmp,9.240040824653796
102,Specimen 9 WM+WM2@200X.bmp,9.831775519478944
103,Specimen 9 WM+WM2@500X.bmp,10.52244180829547
104,Specimen 9 WM+WM3@1000X.bmp,11.039220460975129
105,Specimen 9 WM+WM3@100X.bmp,9.29422943786531
106,Specimen 9 WM+WM3@200X.bmp,9.793938512554366
107,Specimen 9 WM+WM3@500X.bmp,10.351500607500602
